First Name;MI;Last Name;Age;Hair Color;Eye Color;Sisters;Brothers;No. of Pets;Types of Pets;Occupation;Education;Note
Yorick;R;Xerxes;71;Red;Grey;0;3;7;birds, hamsters;Pilot;Nelson's Hall;
Basil;N;Ebbers;47;Blue;Black;0;4;2;fish, hamsters;Curator;Princetonne;
Neville;T;Nichols;24;Blue;Black;0;4;Unk.;cats;Operator;night school;
Olive;I;Quincy;46;Blue;Black;1;4;1;hamsters;Zookeeper;Nelson's Hall;
George;O;Thomas;28;Orange;Brown;2;3;7;birds, hamsters;Journalist;Ventnor Univ.;
Xerxes;A;Charles;21;Red;Brown;0;6;7;birds, hamsters;Teacher;Ventnor Univ.;
Yorick;R;Quincy;29;Green;Green;4;1;4;birds, dogs;Designer;night school;
Prue;W;Charles;25;Green;Green;4;1;5;dogs, fish;Director;Ventnor Univ.;
Desmond;Y;Charles;78;Brown;Brown;2;1;5;dogs, fish;Author;night school;
Prue;B;Unser;36;Green;Violet;4;5;9;Unknown;Pilot;Ventnor Univ.;
Zillah;Y;Hanks;55;Green;Green;1;4;Unk.;cats;Secretary;Ventnor Univ.;
Winnie;O;Hanks;26;Blue;Black;0;6;0;None;Nurse;Ventnor Univ.;
Yorick;Y;Williams;35;Blue;Grey;0;4;10;dogs, hamsters;Professor;Princetonne;
Prue;C;Enfield;68;Brown;Red;1;4;6;Unknown;Accountant;night school;
Ida;N;Nichols;47;Black;Red;1;1;7;birds, hamsters;Secretary;Ventnor Univ.;
Clara;I;Howards;63;Red;Brown;3;3;4;birds, dogs;Operator;Ventnor Univ.;
Yorick;O;Ebbers;26;Black;Red;3;3;8;birds, fish;Curator;Nelson's Hall;
Quentin;I;Queen;63;Grey;Red;0;3;7;birds, hamsters;Doctor;Nelson's Hall;
Ernest;B;Dupont;36;Green;Black;2;1;0;None;Entrepreneur;Ventnor Univ.;
George;S;Kildare;31;Orange;Grey;4;5;4;birds, dogs;Assistant;Ventnor Univ.;
Victor;N;Richards;33;Blue;Grey;0;5;3;birds;Teacher;Princetonne;
Rhoda;I;Grant;19;Orange;Green;3;3;Unk.;cats;Teacher;Ventnor Univ.;
Amy;I;Lambert;19;Green;Brown;0;6;Unk.;cats;Reporter;Ventnor Univ.;
Amy;U;Kildare;52;Black;Green;1;1;Unk.;cats;Pilot;night school;
George;Y;Johnson;35;Orange;Grey;0;6;5;dogs, fish;Docent;Princetonne;
Rhoda;N;Watanabe;43;Red;Brown;0;6;2;fish, hamsters;Teller;Ventnor Univ.;
Titus;N;Ximenez;33;Black;Black;0;6;Unk.;cats;Secretary;Ventnor Univ.;
Prue;B;Nichols;36;Orange;Grey;0;4;2;fish, hamsters;Doctor;Ventnor Univ.;
Zillah;E;Nichols;69;Blue;Brown;1;4;5;dogs, fish;Professor;Ventnor Univ.;
Una;E;Romanov;59;Brown;Green;3;5;Unk.;cats;Instructor;night school;
Clara;E;Thomas;49;Blue;Black;4;1;3;birds;Director;Ventnor Univ.;
George;S;Garrison;64;Orange;White;4;1;6;Unknown;Clerk;Ventnor Univ.;
Una;E;Williams;75;Red;Green;0;5;8;birds, fish;Director;Princetonne;
Desmond;A;Lawrence;21;Red;Grey;2;3;7;birds, hamsters;Designer;Ventnor Univ.;
Desmond;F;Kildare;70;Black;Grey;3;3;8;birds, fish;Professor;Princetonne;
Leo;I;Johnson;19;Black;Green;3;3;Unk.;cats;Entrepreneur;Ventnor Univ.;
Una;S;Unser;50;Grey;Red;0;5;Unk.;cats;Professor;Ventnor Univ.;
Olive;B;Richards;54;Orange;Grey;3;1;4;birds, dogs;Therapist;Ventnor Univ.;
Yorick;P;Thomas;58;Orange;Blue;2;2;1;hamsters;Editor;Ventnor Univ.;
Maud;I;Unser;63;Brown;Grey;3;5;10;dogs, hamsters;Cook;night school;
Victor;E;Jackson;42;Red;Brown;4;5;5;dogs, fish;Chauffeur;Ventnor Univ.;
James;D;Thomas;30;Brown;Black;4;1;0;None;Maid;Ventnor Univ.;
Ernest;L;Young;41;Blue;Grey;3;3;Unk.;cats;Assistant;Nelson's Hall;
Amy;L;Queen;34;Grey;Red;0;5;Unk.;cats;Chef;Ventnor Univ.;
Maud;N;Young;47;Grey;Black;3;3;5;dogs, fish;Teller;night school;
Neville;O;Charles;44;Black;Grey;3;1;2;fish, hamsters;Clerk;night school;
Desmond;I;Yount;63;Red;Brown;1;4;Unk.;cats;Waiter;Princetonne;
Xerxes;U;Valdez;74;Black;Green;0;4;10;dogs, hamsters;Clerk;Ventnor Univ.;
Una;U;Isaacson;52;Green;Black;0;6;Unk.;cats;Analyst;night school;
Yorick;F;Nabors;70;Black;Green;0;3;2;fish, hamsters;Masseur;Ventnor Univ.;
Amy;S;Lambert;31;Red;Brown;2;1;6;Unknown;Cook;Ventnor Univ.;
Susan;U;Howards;74;Blue;Grey;3;3;8;birds, fish;Administrator;night school;
Quentin;S;Morrison;64;Blue;Black;0;4;8;birds, fish;Mechanic;Ventnor Univ.;
Neville;I;Romanov;19;Red;Grey;4;1;7;birds, hamsters;Chauffeur;night school;
Hector;T;Adams;24;Orange;White;0;4;2;fish, hamsters;Wildcat;Ventnor Univ.;
James;T;Valdez;45;Orange;Green;3;1;3;birds;Professor;Ventnor Univ.;
Titus;W;Garrison;25;Brown;Grey;0;6;Unk.;cats;Nurse;Ventnor Univ.;
Prue;N;Young;20;Grey;Red;3;3;Unk.;cats;Mechanic;night school;
Victor;O;Unser;32;Red;Grey;1;4;Unk.;cats;Professor;Ventnor Univ.;
Rhoda;O;Ebbers;26;Grey;Green;0;3;0;None;Sysop;Nelson's Hall;
Basil;E;Williams;61;Blue;Brown;3;3;1;hamsters;Librarian;night school;
Maud;I;Black;46;Red;Brown;3;3;4;birds, dogs;Doctor;Ventnor Univ.;
Susan;N;Jackson;76;Brown;Brown;0;5;10;dogs, hamsters;Nurse;Ventnor Univ.;
Basil;O;Yount;32;Orange;Green;1;1;Unk.;cats;Tutor;Ventnor Univ.;
Desmond;O;Lawrence;44;Grey;Green;0;4;0;None;Anesthiesiologist;Ventnor Univ.;
Zillah;P;Black;58;Brown;Red;2;1;Unk.;cats;Cook;Ventnor Univ.;
Fanny;E;Queen;59;Blue;Blue;0;6;Unk.;cats;Author;Ventnor Univ.;
Titus;S;Quincy;31;Orange;Green;0;6;1;hamsters;Zookeeper;Ventnor Univ.;
Yorick;Q;Watanabe;73;Black;Grey;1;4;9;Unknown;Zookeeper;Princetonne;
Maud;I;Michaels;19;Green;Violet;4;5;Unk.;cats;Teller;Princetonne;
Clara;U;Enfield;52;Green;Violet;4;1;Unk.;cats;Butler;Ventnor Univ.;
Winnie;N;Romanov;20;Green;White;1;1;0;None;Instructor;Ventnor Univ.;
Xerxes;Y;Garrison;23;Red;Green;3;1;10;dogs, hamsters;Tutor;night school;
Titus;E;Unser;61;Orange;White;3;5;3;birds;Singer;night school;
George;W;Charles;25;Blue;Grey;3;1;0;None;Dishwasher;Ventnor Univ.;
Zillah;O;Adams;32;Brown;Red;0;4;Unk.;cats;Lumberjack;Ventnor Univ.;
Leo;S;Johnson;31;Green;Brown;0;5;10;dogs, hamsters;Valet;Nelson's Hall;
Susan;O;Lawrence;44;Green;Green;4;1;3;birds;Editor;night school;
Neville;W;Siebert;27;Brown;Black;0;5;5;dogs, fish;Operator;Ventnor Univ.;
Hector;I;Howards;39;Blue;Blue;0;5;3;birds;Assistant;night school;
Susan;R;Jackson;71;Green;Violet;0;5;7;birds, hamsters;Maid;Ventnor Univ.;
Fanny;R;Unser;60;Brown;Green;2;1;9;Unknown;Secretary;night school;
Prue;R;Nichols;29;Brown;Brown;3;1;1;hamsters;Editor;Ventnor Univ.;
Clara;S;Garrison;64;Green;Black;3;1;9;Unknown;Butler;Ventnor Univ.;
Fanny;O;Islington;28;Grey;Black;3;3;3;birds;Busser;Ventnor Univ.;
Hector;S;Queen;64;Green;Black;3;5;8;birds, fish;Chauffeur;UHI-Honolulu;
Ernest;R;Onassis;37;Black;Green;4;5;0;None;Tutor;Ventnor Univ.;
Hector;T;Brown;56;Grey;Red;2;1;0;None;Cook;Princetonne;
